Job ID,Civil Service Title,Agency,Posting Type,Job Category,Salary Range From,Salary Range To
424339,PUBLIC HEALTH NURSE,DEPT OF HEALTH/MENTAL HYGIENE,External,Health,84252.0,84252.0
379094,CERT IT DEVELOPER (APP),NYC EMPLOYEES RETIREMENT SYS,External,NaN,82884.0,116391.0
520417,EXECUTIVE AGENCY COUNSEL,NYC HOUSING AUTHORITY,External,Legal Affairs,105000.0,125000.0
233549,CERTIFIED IT ADMINISTRATOR (LA,NYC EMPLOYEES RETIREMENT SYS,External,Information Technology & Telecommunications,87203.0,131623.0
510256,ASSOCIATE HUMAN RIGHTS SPECIAL,HUMAN RIGHTS COMMISSION,External,Constituent Services & Community Programs,58449.0,67216.0
527525,SUMMER COLLEGE INTERN,DEPARTMENT OF BUILDINGS,Internal,"Engineering, Architecture, & Planning",15.0,17.5
470130,CITY RESEARCH SCIENTIST,DEPARTMENT OF CORRECTION,External,"Technology, Data & Innovation",94283.0,108426.0
526938,RECREATION SUPERVISOR,DEPT OF PARKS & RECREATION,Internal,Constituent Services & Community Programs,69000.0,69000.0
525594,ASSOCIATE HOUSING DEVELOPMENT,HOUSING PRESERVATION & DVLPMNT,Internal,Constituent Services & Community Programs,95000.0,105000.0
520405,RESEARCH PROJECTS COOR(MA)-MGR,MAYORS OFFICE OF CONTRACT SVCS,External,"Technology, Data & Innovation Policy, Research & Analysis",70000.0,100000.0
524269,CITY SEASONAL AIDE,DEPT OF PARKS & RECREATION,External,Building Operations & Maintenance,15.45,15.45
520140,ASSISTANT MECHANICAL ENGINEER,DEPT OF ENVIRONMENT PROTECTION,Internal,"Engineering, Architecture, & Planning Policy, Research & Analysis",57078.0,85646.0
508621,ASSOCIATE HUMAN RIGHTS SPECIAL,HUMAN RIGHTS COMMISSION,Internal,Legal Affairs Social Services,69605.0,80046.0
508375,IT AUTOMATION AND MONITORING E,DEPARTMENT OF TRANSPORTATION,Internal,"Technology, Data & Innovation",75000.0,140000.0
523075,ASSOCIATE PROJECT MANAGER,DEPT OF ENVIRONMENT PROTECTION,Internal,"Engineering, Architecture, & Planning",90114.0,122168.0
518536,ADM PROC ANAL-NM FRM M1-3,DEPT OF ENVIRONMENT PROTECTION,Internal,"Engineering, Architecture, & Planning Finance, Accounting, & Procurement",65232.0,151810.0
507205,ADMINISTRATIVE STAFF ANALYST (,TAXI & LIMOUSINE COMMISSION,Internal,"Finance, Accounting, & Procurement",84451.0,100000.0
526319,COLLEGE AIDE (ALL CITY DEPTS),CONSUMER AND WORKER PROTECTION,External,"Administration & Human Resources Finance, Accounting, & Procurement",15.5,19.9
527426,CONSTRUCTION PROJECT MANAGER,DEPARTMENT OF TRANSPORTATION,Internal,"Engineering, Architecture, & Planning",57078.0,85646.0
